term,beta_1se_halfand10,beta_min_halfand10,beta_1se_1and10,beta_min_1and10,beta_1se_1and20,beta_min_1and20,beta_1se_Tracts_half,beta_min_Tracts_half,beta_1se_Tracts1,beta_min_Tracts1
Urban1,0.28445726175336417,0.3464536233550431,0,0,0,0,0.35644089061176254,0.3883305325872935,0,0
CensusTract36001013000,0,0,0,0,0.0102729991031694,0.0102729991031694,0,0,0.0102729991031694,0.0102729991031694
CensusTract36001014302,0,0,0,0,0.026703268725029476,0.026703268725029476,0,0,0.026703268725029476,0.026703268725029476
CensusTract36009940300,0,0,0,0,0.023675950928170198,0.023675950928170198,0,0,0.023675950928170198,0.023675950928170198
CensusTract36025970800,0,0,0,0,0.011424478503674009,0.011424478503674009,0,0,0.011424478503674009,0.011424478503674009
CensusTract36025970900,0,0.14255407629230285,0,0,0,0,0,0.0482019383113409,0,0
CensusTract36029000800,0,0,0,0,-0.007968366827274791,-0.007968366827274791,0,0,-0.007968366827274791,-0.007968366827274791
CensusTract36029006602,0,0,0,0,0,0,0,-7.358600815480194e-4,0,0
CensusTract36029009006,0,0,0,0,-0.008995909795424646,-0.008995909795424646,0,0,-0.008995909795424646,-0.008995909795424646
CensusTract36029009115,0,0,0,0,0.44194775615211457,0.44194775615211457,0,0,0.44194775615211457,0.44194775615211457
CensusTract36029011200,0,0,0,0,0.020962021249792816,0.020962021249792816,0,0,0.020962021249792816,0.020962021249792816
CensusTract36029013502,0,0,0,0,0.03461248972961472,0.03461248972961472,0,0,0.03461248972961472,0.03461248972961472
CensusTract36029014206,0,0,0,0,0.026032818357278494,0.026032818357278494,0,0,0.026032818357278494,0.026032818357278494
CensusTract36047001100,0.24022029495392241,0.7314681552936075,0,0,0,0,0.4673004410640376,0.6568675243210418,0,0
CensusTract36047109800,0,8.445569115998629e-4,0,0,0,0,0,0.027024150210015096,0,0
CensusTract36053030900,0,0,0,0,0.005003318707534245,0.005003318707534245,0,0,0.005003318707534245,0.005003318707534245
CensusTract36055001800,0,0,0,0,-0.012101567365271472,-0.012101567365271472,0,0,-0.012101567365271472,-0.012101567365271472
CensusTract36055002000,0,0,0,0,-0.015843972351518423,-0.015843972351518423,0,0,-0.015843972351518423,-0.015843972351518423
CensusTract36055008600,0,0,0,0,0.011039077825776627,0.011039077825776627,0,0,0.011039077825776627,0.011039077825776627
CensusTract36055010200,0,0,0,0,0.007037072803090426,0.007037072803090426,0,0,0.007037072803090426,0.007037072803090426
CensusTract36055010602,0,0,0,0,-0.014641240909147564,-0.014641240909147564,0,0,-0.014641240909147564,-0.014641240909147564
CensusTract36055010800,0,0,0,0,-0.01646497766400311,-0.01646497766400311,0,0,-0.01646497766400311,-0.01646497766400311
CensusTract36055010902,0,0,0,0,-0.017381681745902346,-0.017381681745902346,0,0,-0.017381681745902346,-0.017381681745902346
CensusTract36055011207,0,0,0,0,0.013469583829064404,0.013469583829064404,0,0,0.013469583829064404,0.013469583829064404
CensusTract36055011208,0,0,0,0,-0.016943426751189986,-0.016943426751189986,0,0,-0.016943426751189986,-0.016943426751189986
CensusTract36055011708,0,0,0,0,0.016467062611800424,0.016467062611800424,0,0,0.016467062611800424,0.016467062611800424
CensusTract36055011902,0,0,0,0,0.002153901889629613,0.002153901889629613,0,0,0.002153901889629613,0.002153901889629613
CensusTract36055012401,0,0,0,0,0.018756709001396598,0.018756709001396598,0,0,0.018756709001396598,0.018756709001396598
CensusTract36055012700,0,0,0,0,0.027684599861179843,0.027684599861179843,0,0,0.027684599861179843,0.027684599861179843
CensusTract36055012900,0,0,0,0,0.025607500940369024,0.025607500940369024,0,0,0.025607500940369024,0.025607500940369024
CensusTract36055013505,0,0,0,0,-0.006124480995635964,-0.006124480995635964,0,0,-0.006124480995635964,-0.006124480995635964
CensusTract36055013601,0,0,0,0,-0.002974632387079644,-0.002974632387079644,0,0,-0.002974632387079644,-0.002974632387079644
CensusTract36055013800,0,0,0,0,0.004298778566138002,0.004298778566138002,0,0,0.004298778566138002,0.004298778566138002
CensusTract36055013902,0,0,0,0,-0.021218709358013548,-0.021218709358013548,0,0,-0.021218709358013548,-0.021218709358013548
